index,quote_text
5,test:carry such information in my mind since it is readily available in books. ...The value of a college education is not the learning of many facts but the training of the mind to think.
42,"test:In the judgment of the most competent living mathematicians, Fräulein Noether was the most significant creative mathematical genius thus far produced since the higher education of women began."
90,"test:Great moral teachers of humanity were, in a certain sense, geniuses in the art of living more than in the art of thinking."
186,test:What a monstrous thing that a University should teach journalism! I thought that was only done at Oxford. This respect for the filthy multitude is ruining civilisation.
268,test:We are faced with the paradoxical fact that education has become one of the chief obstacles to intelligence and freedom of thought.
296,"test:I think modern educational theorists are inclined to attach too much importance to the negative virtue of not interfering with children, and too little to the positive merit of enjoying their company."
297,test:Two men who differ as to the ends of life cannot hope to agree about education.
429,test:verybody who is incapable of learning has taken to teaching.
504,test:Education is an admirable thing. But it is well to remember from time to time that nothing that is worth knowing can be taught.
525,test:The only way to atone for being occasionally a little over-dressed is by being always absolutely over-educated.
803,"test:Education, n. That which discloses to the wise and disguises from the foolish their lack of understanding."
830,"test:Learning, n. The kind of ignorance distinguishing the studious."
1040,"test:I think it is the most important subject facing this country, but I cannot get any of my ministers to take any notice."
1257,"test:Every fool believes what his teachers tell him, and calls his credulity science or morality as confidently as his father called it divine revelation."
1538,"test:My lectures are published and not published; they will be intelligible to those who heard them, and to none beside."
1574,"test:The roots of education ... are bitter, but the fruit is sweet."
1678,test:The microcosm of a public school.
1777,"test:A University should be a place of light, of liberty, and of learning."
1779,test:Upon the education of the people of this country the fate of this country depends.
1997,test:The best university that can be recommended to a man of ideas is the gauntlet of the mobs.
2137,test:The true purpose of education is to prepare young men and women for effective citizenship in a free form of government.
2140,"test:From this day forward, the millions of our school children will daily proclaim in every city, every village, and every rural schoolhouse, the dedication of our nation and our people to the Almighty."
2230,"test:Soap and education are not as sudden as a massacre, but they are more deadly in the long run."
2258,test:We believe that out of the public school grows the greatness of a nation.
2295,"test:A gifted person ought to learn English (barring spelling and pronouncing) in thirty hours, French in thirty days, and German in thirty years."
2344,test:Education consists mainly in what we have unlearned.
2724,test:There are other letters for the child to learn than those which Cadmus invented.
2844,"test:There is only one thing that can kill the Movies, and that is education."
2920,test:Men may be born free; they cannot be born wise; and it is the duty of the university to make the free wise.
3380,"test:Education is learning to grow, learning what to grow toward, learning what is good and bad, learning what is desirable and undesirable, learning what to choose and what not to choose."
3430,"test:People come up to me and say, ""Emo, do people really come up to you?"""
3621,"test:School teachers, taking them by and large, are probably the most ignorant and stupid class of men in the whole group of mental workers."
3756,test:What are our schools for if not for indoctrination against communism?
3821,"test:Ignorance in other men may be censured as idleness, in an academick it must be abhorred as treachery."
3897,"test:A dog teaches a boy fidelity, perseverance, and to turn around three times before lying down."
3991,"test:It is not the task of the University to offer what society asks for, but to give what society needs."
4051,test:We thought being offered the M.B.E. was as funny as everybody else thought it was. Why? What for? We didn't believe it. It was a part we didn't want. We all met and agreed it was daft.
4104,"test:When a peasant begins to feel the need for instruction, he usually becomes fiercely calculating."
4157,"test:Oh, the fools, like a lot of good little schoolboys, scared to death of anything they've been taught is wrong!"
4282,"test:From a Child I was fond of Reading, and all the little Money that came into my Hands was ever laid out in Books."
4308,"test:Quite clearly, our task is predominantly metaphysical, for it is how to get all of humanity to educate itself swiftly enough to generate spontaneous social behaviors that will avoid extinction."
4383,test:I am of the order whose purpose is not to teach the world a lesson but to explain that school is over.
4596,test:For it was my master who taught me not only how very little I knew but also that any wisdom to which I might ever aspire could consist only in realizing more fully the infinity of my ignorance.
4616,test:ven serious students are misled by the myth of the subject.
4618,"test:I am a rationalist. ...I mean ...wish... to understand the world, and to learn by arguing with others. (...I do not say a rationalist holds the mistaken theory that men are... rational.)"
4623,"test:I... believe in the rationalist tradition of a commonwealth of learning, and in the urgent need to preserve this tradition."
4661,test:Some say it is unfair to hold disadvantaged children to rigorous standards. I say it is discrimination to require anything less–-the soft bigotry of low expectations.
4663,test:arely is the question asked: Are... is our children learning?
4824,"test:As yesterday's positive report card shows, childrens do learn when standards are high and results are measured."
4868,"test:The success of any nation is impossible without the political participation, the economic empowerment, the education, and health, of women."
4913,test:Any teacher that can be replaced by a machine should be!
4938,test:If children have interests then education happens.
5014,"test:Self-education is, I firmly believe, the only kind of education there is."
5326,"test:I may be a huge computer nerd, but even so I don't think education should be about computers. Not as a subject, and not as a classroom resource either."
5422,test:The space between the young readers eyeballs and the printed page is a holy place and officialdom should trample all over it at their peril.
5426,"test:""Educational"" refers to the process, not the object. Although, come to think of it, some of my teachers could easily have been replaced by a cheeseburger."
5545,test:I'll try anything that improves my education and is fun at the time.
5592,test:He liked everything about the university except the students.
5689,test:Experience is a good school. But the fees are high.
5757,"test:It's obvious that in an intelligent educated audience such as this university, I stress this university. Who saw fit to give them accreditation?"
5872,"test:University is about confronting new ideas, unfamiliar, un-""safe"". If you want to be ""safe"" you are not worthy of a university education."
5933,"test:Without education, we are in a horrible and deadly danger of taking educated people seriously."
5956,test:Half the trouble about the modern man is that he is educated to understand foreign languages and misunderstand foreigners.
6047,test:No one can become really educated without having pursued some study in which he took no interest—for it is a part of education to interest ourselves in subjects for which we have no aptitude.
6171,test:One good schoolmaster is of more use than a hundred priests.
